ImpactID,MealID,ConditionType,Notes,Score
717,33,Fatty Liver,"High fiber, healthy fat, moderate sodium and cheese; supportive for fatty liver.",8
718,33,High Cholesterol,"Mostly unsaturated fat, low cholesterol, some saturated fat from cheese; generally supportive.",8
719,33,High Blood Pressure,Moderate sodium from cheese and croutons; portion control is helpful.,7
720,33,Gout,"Plant-based, low purines, small amount of cheese; very safe for gout.",10
721,33,Fatty Liver,"Healthy fat, fiber, plant-based protein; excellent for fatty liver.",10
722,33,High Cholesterol,"No cholesterol, high unsaturated fat; highly beneficial.",10
723,33,High Blood Pressure,No sodium; excellent for hypertension.,10
724,33,Gout,"Plant-based, low purines; very safe for gout.",10
725,34,Fatty Liver,"High fiber, plant-based protein and healthy fats, moderate sugar; supportive for fatty liver.",9
726,34,High Cholesterol,"No cholesterol, mostly unsaturated fat; very beneficial.",10
727,34,High Blood Pressure,"Low sodium, potassium-rich; excellent for hypertension.",10
728,34,Gout,"Plant-based, low purines, nuts in moderation; very safe for gout.",10
729,34,Fatty Liver,"High in antioxidants, healthy fat, low calorie; highly supportive for fatty liver.",10
730,34,High Cholesterol,"No cholesterol, high in plant-based fat and fiber; highly beneficial.",10
731,34,High Blood Pressure,"Low sodium, potassium-rich; excellent for blood pressure.",10
732,34,Gout,"Plant-based, low purines; very safe for gout.",10
733,34,Fatty Liver,"Lean protein, moderate fat, high sodium; moderation needed for fatty liver.",6
734,34,High Cholesterol,"Lean fish, low saturated fat; generally supportive, but limit mayo.",7
735,34,High Blood Pressure,Moderate sodium; suitable in moderation.,7
736,34,Gout,Tuna is high in purines; limit for gout.,3
737,34,Fatty Liver,"Lean protein, healthy fat, moderate carbs; supportive if portion controlled.",8
738,34,High Cholesterol,"Low saturated fat, lean protein; supportive for cholesterol.",9
739,34,High Blood Pressure,Low sodium; very supportive for blood pressure.,10
740,34,Gout,"Chicken moderate in purines, sunflower seeds low; safe in moderation.",8
741,34,Fatty Liver,Contains sugar and saturated fat; best as an occasional treat.,5
742,34,High Cholesterol,Contains saturated fat and cholesterol; keep as infrequent dessert.,6
743,34,High Blood Pressure,Low sodium; neutral for hypertension.,10
744,34,Gout,"Dairy and fruit, low purines; safe for gout.",10
745,34,Fatty Liver,"Lean protein, moderate fat, high sodium; moderation needed for fatty liver.",6
746,34,High Cholesterol,"Lean fish, low saturated fat; generally supportive, but limit mayo.",7
747,34,High Blood Pressure,Moderate sodium; suitable in moderation.,7
748,34,Gout,Tuna is high in purines; limit for gout.,3
749,35,Fatty Liver,"High in cholesterol and saturated fat, moderate fiber; limit frequency for fatty liver management.",5
750,35,High Cholesterol,High cholesterol and saturated fat; not ideal for cholesterol management.,3
751,35,High Blood Pressure,"Moderate sodium, could be higher if salted; use caution for hypertension.",6
752,35,Gout,"Eggs are moderate in purines, mushrooms add some; acceptable in moderation.",7
753,35,Fatty Liver,"Moderate fat, fiber, and protein; suitable as an occasional snack.",8
754,35,High Cholesterol,Low saturated fat and cholesterol; supportive for cholesterol.,9
755,35,High Blood Pressure,"Moderate sodium, small serving; generally acceptable.",8
756,35,Gout,"Plant-based, low purines; very safe for gout.",10
757,35,Fatty Liver,"High in fiber, plant protein, moderate fat; watch sodium and cheese.",8
758,35,High Cholesterol,Some saturated fat and cholesterol from feta; supportive overall if cheese is limited.,7
759,35,High Blood Pressure,"Sodium from olives, cheese, and dressing; limit for hypertension.",6
760,35,Gout,"Beans and nuts moderate in purines, otherwise plant-based; safe in moderation.",8
761,35,Fatty Liver,"High fiber, plant protein, healthy fats; excellent for fatty liver.",10
762,35,High Cholesterol,"No cholesterol, low saturated fat, healthy fat; very beneficial.",10
763,35,High Blood Pressure,"Low sodium, high potassium from veggies; excellent for hypertension.",10
764,35,Gout,"Plant-based, low purines; very safe for gout.",10
765,36,Fatty Liver,"High in saturated fat and sugar, low fiber; best as an infrequent treat.",4
766,36,High Cholesterol,"Contains butter and eggs, moderate saturated fat and cholesterol; limit frequency.",5
767,36,High Blood Pressure,"Moderate sodium, high refined carbs; occasional use is fine.",7
768,36,Gout,"Plant-based, low purines; very safe for gout.",10
769,36,Fatty Liver,"High fiber, plant protein, healthy fats, low saturated fat; excellent for fatty liver.",10
770,36,High Cholesterol,"No cholesterol, mostly unsaturated fat; highly beneficial.",10
771,36,High Blood Pressure,"Moderate sodium, potassium-rich; supportive for hypertension.",9
772,36,Gout,Chickpeas and quinoa moderate in purines; safe in reasonable portions.,8
773,36,Fatty Liver,"Low calorie, high vitamin C and fiber; very supportive.",10
774,36,High Cholesterol,No cholesterol or fat; highly beneficial.,10
775,36,High Blood Pressure,"Very low sodium, high potassium; excellent for hypertension.",10
776,36,Gout,"Plant-based, low purines; very safe for gout.",10
777,36,Fatty Liver,"High sodium, moderate fat, includes vegetables and lean protein; moderation needed.",5
778,36,High Cholesterol,"Moderate fat and cholesterol, mostly lean protein; supportive if portion controlled.",7
779,36,High Blood Pressure,Very high sodium from sauces and noodles; not recommended for hypertension.,3
780,36,Gout,"Chicken moderate in purines, plant-based sides; safe in moderation.",7
781,36,Fatty Liver,High sugar and saturated fat; best as an occasional treat.,3
782,36,High Cholesterol,Contains saturated fat and cholesterol; limit frequency.,4
783,36,High Blood Pressure,"Moderate sodium, high sugar; occasional use is fine.",7
784,36,Gout,"Plant-based, low purines; very safe for gout.",10
785,37,Fatty Liver,"High fat, sodium, and refined carbs; best as an occasional meal.",4
786,37,High Cholesterol,"Contains saturated fat and cholesterol from eggs, fish, and dairy; limit frequency.",4
787,37,High Blood Pressure,"High sodium from lox, cod, cream cheese, and bagel; not supportive for hypertension.",3
788,37,Gout,Fish and eggs are high in purines; best to limit if prone to gout.,3
789,37,Fatty Liver,"High sugar, low nutrients; acceptable if infrequent and in small portions.",6
790,37,High Cholesterol,"Minimal saturated fat, very small portion; negligible impact.",8
791,37,High Blood Pressure,Negligible sodium; neutral for hypertension.,10
792,37,Gout,"Plant-based, low purines; very safe for gout.",10
793,37,Fatty Liver,"High sugar and saturated fat, low fiber; best as an occasional treat.",5
794,37,High Cholesterol,"Contains butter and eggs, moderate saturated fat; minimal impact if infrequent.",7
795,37,High Blood Pressure,"Low sodium, small serving; generally acceptable.",9
796,37,Gout,"Plant-based, low purines; very safe for gout.",10
797,37,Fatty Liver,"High protein, low fat, moderate sugar; generally supportive for fatty liver.",8
798,37,High Cholesterol,"No saturated fat, very low cholesterol; highly beneficial.",10
799,37,High Blood Pressure,Low sodium; excellent for hypertension.,10
800,37,Gout,"Low purines, dairy-based; very safe for gout.",10
801,37,Fatty Liver,"High fiber, plant protein, low fat; supportive for fatty liver.",9
802,37,High Cholesterol,"No cholesterol, low saturated fat; beneficial.",10
803,37,High Blood Pressure,"Moderate sodium, good fiber; portion control advised.",8
804,37,Gout,Moderate in purines; safe in moderate amounts.,8
805,37,Fatty Liver,"Plant-based, good fiber and protein, moderate sodium; supportive as a snack.",8
806,37,High Cholesterol,"No cholesterol, low saturated fat; beneficial.",10
807,37,High Blood Pressure,"Moderate sodium, portion control important.",7
808,37,Gout,Lentils and chickpeas moderate in purines; safe in moderate amounts.,8
809,37,Fatty Liver,"High sodium, moderate fat and sugar, includes vegetables; moderation needed.",5
810,37,High Cholesterol,Moderate saturated fat and cholesterol; limit fried foods for best results.,6
811,37,High Blood Pressure,Very high sodium; not recommended for hypertension.,3
812,37,Gout,Chicken moderate in purines; safe in moderate amounts.,7
813,37,Fatty Liver,"Plant-based protein, moderate fiber and fat, some sugar; supportive in moderation.",8
814,37,High Cholesterol,"Mostly unsaturated fat, moderate cholesterol from challah; generally supportive.",8
815,37,High Blood Pressure,"Moderate sodium, plant-based fats; portion control is supportive.",8
816,37,Gout,Eggs and chickpeas moderate in purines; safe in moderate amounts.,8
817,38,Fatty Liver,"High sodium and saturated fat, moderate fiber and protein; best in moderation.",5
818,38,High Cholesterol,Contains saturated fat and cholesterol from lox and cream cheese; limit frequency.,5
819,38,High Blood Pressure,"High sodium from lox, bagel, and cream cheese; not supportive for hypertension.",3
820,38,Gout,Lox is high in purines; not ideal for gout.,3
821,38,Fatty Liver,"Healthy fats from almonds, but egg salad is high in cholesterol and saturated fat; moderation advised.",6
822,38,High Cholesterol,High cholesterol from eggs and some saturated fat from mayonnaise; limit frequency.,5
823,38,High Blood Pressure,"Moderate sodium, healthy fats; generally acceptable.",8
824,38,Gout,"Eggs moderate in purines, almonds low; suitable in moderation.",7
825,38,Fatty Liver,"Lean protein, moderate fat and sodium; supportive if mayonnaise is limited.",7
826,38,High Cholesterol,"Lean fish, low saturated fat, moderate cholesterol; generally supportive if mayo is limited.",7
827,38,High Blood Pressure,Moderate sodium from bread and mayo; suitable if limited elsewhere.,7
828,38,Gout,Tuna is high in purines; not ideal for gout.,4
829,38,Fatty Liver,"High fiber, plant protein, moderate fat; watch sodium and cheese.",8
830,38,High Cholesterol,Some saturated fat and cholesterol from feta; supportive if cheese is limited.,7
831,38,High Blood Pressure,"Sodium from olives, cheese, and dressing; limit for hypertension.",6
832,38,Gout,"Beans and nuts moderate in purines, otherwise plant-based; safe in moderation.",8
833,38,Fatty Liver,"Plant-based, moderate fat and fiber, some sodium; supportive if portion is small.",8
834,38,High Cholesterol,"Some saturated fat and cholesterol from feta, otherwise plant-based; supportive in moderation.",8
835,38,High Blood Pressure,"Contains sodium, especially from feta and olives; portion control is key.",7
836,38,Gout,"Contains beans and cheese, moderate in purines; suitable in moderation.",7
837,39,Fatty Liver,Moderately high in refined carbs and saturated fat; lox adds omega-3s but also sodium.,5/10
838,39,High Cholesterol,Contains saturated fat from cream cheese and lox but also healthy fats; moderate intake advised.,5/10
839,39,High Blood Pressure,"High sodium from lox, bagel, and cream cheese; may not be ideal for hypertension.",4/10
840,39,Gout,Lox is moderately high in purines; caution for gout-prone individuals.,5/10
841,39,Fatty Liver,Healthy fat source; beneficial for liver health in moderation.,9/10
842,39,High Cholesterol,May help lower LDL cholesterol; heart-healthy choice.,9/10
843,39,High Blood Pressure,Low sodium; beneficial for blood pressure.,10/10
844,39,Gout,Very low in purines; safe for gout.,10/10
845,39,Fatty Liver,Refined carbs and saturated fat present; cod provides lean protein.,5/10
846,39,High Cholesterol,Some saturated fat from cream cheese; cod is lean and beneficial.,6/10
847,39,High Blood Pressure,Sodium moderate; monitor total daily intake.,6/10
848,39,Gout,Cod is moderate to high in purines; may trigger flare-ups.,5/10
849,39,Fatty Liver,High in saturated fat from gyro meat and feta; vegetables add fiber.,4/10
850,39,High Cholesterol,High saturated fat; may raise LDL cholesterol.,4/10
851,39,High Blood Pressure,"High sodium from meat, feta, and olives; may exacerbate hypertension.",3/10
852,39,Gout,Meat provides moderate purines; feta and vegetables are low.,5/10
853,42,Fatty Liver,High fiber and low fat; generally supportive for fatty liver.,9/10
854,42,High Cholesterol,Low in saturated fat and cholesterol; favorable.,9/10
855,42,High Blood Pressure,Low sodium; beneficial.,9/10
856,42,Gout,Low purine content; safe.,9/10
857,42,Fatty Liver,Balanced macro profile; moderate sugar.,7/10
858,42,High Cholesterol,Low in saturated fat; beneficial.,8/10
859,42,High Blood Pressure,Moderate sodium; acceptable in moderation.,7/10
860,42,Gout,"Contains nuts and egg whites, moderate in purines.",7/10
861,42,Fatty Liver,Contains processed meats and cheese; high in fat.,5/10
862,42,High Cholesterol,High saturated fat and cholesterol; not ideal.,4/10
863,42,High Blood Pressure,High sodium from ham and cheese.,3/10
864,42,Gout,Contains processed meats; moderate purine risk.,5/10
865,42,Fatty Liver,Contains healthy fats from seeds and peanuts; moderate calories.,7/10
866,42,High Cholesterol,Low saturated fat; favorable.,8/10
867,42,High Blood Pressure,Moderate sodium; ok in moderation.,7/10
868,42,Gout,Plant-based meal; low purine.,9/10
869,42,Fatty Liver,High in sugar and saturated fat; occasional treat is okay.,4/10
870,42,High Cholesterol,Contains butter and eggs; keep occasional.,5/10
871,42,High Blood Pressure,Contains sodium and sugar; minimal impact if occasional.,6/10
872,42,Gout,Low purine; safe for most.,8/10
873,43,Fatty Liver,"Low calorie, high in antioxidants; beneficial.",10/10
874,43,High Cholesterol,No cholesterol or fat; excellent choice.,10/10
875,43,High Blood Pressure,No sodium; beneficial.,10/10
876,43,Gout,Low purine; very safe.,10/10
877,43,Fatty Liver,"Low fiber, moderate fat; minimal impact if infrequent.",6/10
878,43,High Cholesterol,Contains butter; moderate saturated fat.,6/10
879,43,High Blood Pressure,Moderate sodium; keep occasional.,7/10
880,43,Gout,Low in purines; safe.,9/10
881,43,Fatty Liver,"Plant-based, moderate fat; beneficial for fatty liver.",8/10
882,43,High Cholesterol,"No cholesterol, healthy fats; good choice.",9/10
883,43,High Blood Pressure,Moderate sodium; monitor intake.,7/10
884,43,Gout,Some veggie burgers contain legumes; moderate purine.,7/10
885,43,Fatty Liver,"Lean protein, some processed meat; moderate benefit.",7/10
886,43,High Cholesterol,Low saturated fat; moderate cholesterol; reasonable.,7/10
887,43,High Blood Pressure,Sodium from turkey and pickles; monitor.,6/10
888,43,Gout,Turkey is moderate purine; occasional is safe.,6/10
889,43,Fatty Liver,High in refined carbs and fat; limit portion size.,6/10
890,43,High Cholesterol,Contains butter; moderate saturated fat.,6/10
891,43,High Blood Pressure,Moderate sodium from olives and bread.,7/10
892,43,Gout,Plant-based; low purine.,9/10
893,43,Fatty Liver,"Healthy fats, low sugar; beneficial.",9/10
894,43,High Cholesterol,Contains unsaturated fats; favorable.,9/10
895,43,High Blood Pressure,No sodium; excellent.,10/10
896,43,Gout,Low purines; very safe.,10/10
897,44,Fatty Liver,"Moderate fat, high sugar from latte; limit frequency.",6/10
898,44,High Cholesterol,Some saturated fat; keep occasional.,6/10
899,44,High Blood Pressure,High sodium; caution.,5/10
900,44,Gout,Contains cheese and egg whites; moderate purine.,6/10
901,44,Fatty Liver,"Lean protein, but mayo adds fat; moderate.",7/10
902,44,High Cholesterol,Some cholesterol from tuna and mayo; moderate.,6/10
903,44,High Blood Pressure,Moderate sodium; keep in check.,7/10
904,44,Gout,Tuna is high in purines; limit frequency.,4/10
905,44,Fatty Liver,"Moderate fat, high carb; occasional is fine.",6/10
906,44,High Cholesterol,Some saturated fat; seafood is lean.,7/10
907,44,High Blood Pressure,High sodium from soy sauce and fillings.,5/10
908,44,Gout,Tuna and yellowtail are high purine; limit intake.,3/10
909,44,Fatty Liver,"Healthy fats, low carb; beneficial.",9/10
910,44,High Cholesterol,Unsaturated fats; very good.,10/10
911,44,High Blood Pressure,No sodium; excellent snack.,10/10
912,44,Gout,Low purine; very safe.,10/10
913,45,Fatty Liver,High fiber and low fat; supportive for fatty liver.,9/10
914,45,High Cholesterol,Low saturated fat and cholesterol; beneficial.,9/10
915,45,High Blood Pressure,Low sodium; favorable.,9/10
916,45,Gout,Low purine; safe.,9/10
917,45,Fatty Liver,"Low calorie, high fiber, antioxidant-rich; very favorable.",10/10
918,45,High Cholesterol,No cholesterol or fat; beneficial.,10/10
919,45,High Blood Pressure,No sodium; excellent.,10/10
920,45,Gout,Low purines; safe.,10/10
921,45,Fatty Liver,Plant-based and high fiber; favorable.,8/10
922,45,High Cholesterol,Low saturated fat; good choice.,9/10
923,45,High Blood Pressure,Moderate sodium from salsa and tortillas.,7/10
924,45,Gout,"Mushrooms are moderate, but overall low purine meal.",8/10
925,45,Fatty Liver,High in refined carbs and fat; limit frequency.,5/10
926,45,High Cholesterol,Contains cheese and butter; moderate saturated fat.,6/10
927,45,High Blood Pressure,"High sodium from cheese, bread, and sauce.",5/10
928,45,Gout,Cheese and tomato moderate; not high in purines.,7/10
929,45,Fatty Liver,"Low calorie, no added sugar; beneficial in moderation.",9/10
930,45,High Cholesterol,No fat or cholesterol.,10/10
931,45,High Blood Pressure,No sodium.,10/10
932,45,Gout,Low purine; safe.,10/10
933,46,Fatty Liver,Refined carbs and fat; keep occasional.,5/10
934,46,High Cholesterol,Contains cream cheese; moderate saturated fat.,6/10
935,46,High Blood Pressure,Moderate sodium; watch intake.,6/10
936,46,Gout,"Dairy and soy, moderate purine content.",7/10
937,46,Fatty Liver,"Moderate sugar, balanced macros.",7/10
938,46,High Cholesterol,Low in saturated fat.,8/10
939,46,High Blood Pressure,Moderate sodium; acceptable in moderation.,7/10
940,46,Gout,Contains nuts and egg whites; moderate purines.,7/10
941,46,Fatty Liver,Very high calories and sugar; not recommended.,2/10
942,46,High Cholesterol,High fat and saturated fat; not ideal.,3/10
943,46,High Blood Pressure,Moderate sodium; keep rare.,6/10
944,46,Gout,Contains nuts; moderate purines.,6/10
945,46,Fatty Liver,"Healthy fats from salmon, but mayo adds saturated fat.",7/10
946,46,High Cholesterol,Salmon beneficial; mayo adds cholesterol.,6/10
947,46,High Blood Pressure,Moderate sodium; generally acceptable.,7/10
948,46,Gout,Salmon is high in purines; not ideal for gout.,4/10
949,47,Fatty Liver,Balanced macros; moderate fat.,7/10
950,47,High Cholesterol,High cholesterol from eggs; be cautious.,5/10
951,47,High Blood Pressure,Moderate sodium; monitor intake.,7/10
952,47,Gout,Eggs are moderate purine; generally safe.,8/10
953,47,Fatty Liver,"Plant-based, healthy fats; beneficial.",8/10
954,47,High Cholesterol,Moderate cheese; overall favorable.,7/10
955,47,High Blood Pressure,High sodium from olives and feta.,6/10
956,47,Gout,Low purine; safe.,9/10
957,47,Fatty Liver,"High fiber, low calorie; very favorable.",10/10
958,47,High Cholesterol,No cholesterol or fat; excellent.,10/10
959,47,High Blood Pressure,No sodium.,10/10
960,47,Gout,Low purine; safe.,10/10
961,47,Fatty Liver,High fat from dressing; moderate.,6/10
962,47,High Cholesterol,Contains cheese and dressing; moderate.,6/10
963,47,High Blood Pressure,Moderate sodium; keep in check.,7/10
964,47,Gout,Low purines; safe.,9/10
965,48,Fatty Liver,Healthy fats and antioxidants; yogurt adds sugar.,7/10
966,48,High Cholesterol,Low saturated fat; reasonable.,8/10
967,48,High Blood Pressure,Low sodium; favorable.,9/10
968,48,Gout,Low purine; safe.,10/10
969,48,Fatty Liver,"Low fat, moderate sugar; fine as a treat.",7/10
970,48,High Cholesterol,Low fat and no cholesterol.,9/10
971,48,High Blood Pressure,Low sodium.,9/10
972,48,Gout,Low purine; safe.,10/10
973,48,Fatty Liver,Fish protein and veggies; cheese and dressing add fat.,7/10
974,48,High Cholesterol,"Contains cheese, moderate fat.",7/10
975,48,High Blood Pressure,Moderate sodium; reasonable.,7/10
976,48,Gout,Tuna is high in purines; limit frequency.,4/10
977,48,Fatty Liver,"Cheese adds fat, but portion is small.",7/10
978,48,High Cholesterol,Contains cheese; moderate.,7/10
979,48,High Blood Pressure,Moderate sodium; reasonable.,8/10
980,48,Gout,Cheese and tuna moderate purine.,7/10
981,48,Fatty Liver,"Plant-based, moderate fat, high fiber; beneficial.",8/10
982,48,High Cholesterol,"Vegan meal, no cholesterol; very good.",10/10
983,48,High Blood Pressure,Moderate sodium; monitor intake.,7/10
984,48,Gout,Chickpeas are moderate purine; generally safe.,7/10
985,48,Fatty Liver,High in saturated fat; occasional treat only.,4/10
986,48,High Cholesterol,Contains cream and eggs; keep rare.,5/10
987,48,High Blood Pressure,Minimal sodium; negligible impact.,9/10
988,48,Gout,Low purine; safe.,9/10
989,49,Fatty Liver,High in saturated fat and refined carbs; limit frequency.,4/10
990,49,High Cholesterol,Cheese is high in saturated fat and cholesterol.,4/10
991,49,High Blood Pressure,High sodium; not ideal.,5/10
992,49,Gout,Cheese is moderate purine; moderate portion is key.,6/10
993,49,Fatty Liver,"Low fat, moderate sugar; fine as a treat.",7/10
994,49,High Cholesterol,Low fat and no cholesterol.,9/10
995,49,High Blood Pressure,Low sodium.,9/10
996,49,Gout,Low purine; safe.,10/10
997,49,Fatty Liver,"High fiber, plant protein; mayo adds fat.",7/10
998,49,High Cholesterol,Low saturated fat; reasonable.,8/10
999,49,High Blood Pressure,Moderate sodium; monitor portion.,7/10
1000,49,Gout,Edamame is moderate purine; generally safe.,7/10
1001,49,Fatty Liver,"Lean protein, but sauce adds sodium and some fat.",7/10
1002,49,High Cholesterol,Lean fish protein; minimal saturated fat.,8/10
1003,49,High Blood Pressure,Moderate sodium; watch sauce portions.,7/10
1004,49,Gout,Sole is high purine; limit for gout patients.,5/10
1005,50,Fatty Liver,Some added sugar from yogurt; otherwise favorable.,7/10
1006,50,High Cholesterol,Low saturated fat; reasonable.,8/10
1007,50,High Blood Pressure,Low sodium.,9/10
1008,50,Gout,Low purine; safe.,10/10
1009,50,Fatty Liver,High in refined carbs and sugar; not ideal.,5/10
1010,50,High Cholesterol,"No cholesterol, low saturated fat.",8/10
1011,50,High Blood Pressure,Moderate sodium; limit portion.,7/10
1012,50,Gout,Low purine; safe.,10/10
1013,50,Fatty Liver,Cheese adds saturated fat; vegetables and fruit positive.,6/10
1014,50,High Cholesterol,Cheese is high in saturated fat; limit portion.,6/10
1015,50,High Blood Pressure,Moderate sodium.,7/10
1016,50,Gout,Cheese is moderate purine.,7/10
1017,50,Fatty Liver,High in refined carbs and fat; not ideal.,4/10
1018,50,High Cholesterol,"Contains oils, minimal saturated fat.",7/10
1019,50,High Blood Pressure,High sodium; not recommended.,3/10
1020,50,Gout,Low purine; safe.,9/10
1021,50,Fatty Liver,High in fiber and healthy fat; chips add fat and sodium.,7/10
1022,50,High Cholesterol,Plant-based; moderate fat.,8/10
1023,50,High Blood Pressure,High sodium from chips and bun.,5/10
1024,50,Gout,Veggie burger moderate purine.,7/10
1025,50,Fatty Liver,Fruits and veggies; healthy snack.,8/10
1026,50,High Cholesterol,"No cholesterol, low fat.",9/10
1027,50,High Blood Pressure,Low sodium.,9/10
1028,50,Gout,Low purine; very safe.,10/10
1029,51,Fatty Liver,"Moderate in fat and calories; avocado and vegetables are positive, but cheese and butter add saturated fat.",6/10
1030,51,High Cholesterol,"Eggs, cheese, and butter contribute to dietary cholesterol and saturated fat.",5/10
1031,51,High Blood Pressure,Cheese and butter add sodium; overall moderate sodium.,6/10
1032,51,Gout,"Eggs and cheese are moderate in purines; not excessive, but caution advised.",7/10
1033,51,Fatty Liver,Low in fat except for cookies; fruit is beneficial.,8/10
1034,51,High Cholesterol,Minimal cholesterol and saturated fat.,8/10
1035,51,High Blood Pressure,Low sodium content.,9/10
1036,51,Gout,"Low purine, fruit-based, safe.",9/10
1037,51,Fatty Liver,"Healthy vegetables; moderate saturated fat from cheese, butter, and turkey.",7/10
1038,51,High Cholesterol,"Feta, butter, and turkey add cholesterol and saturated fat.",6/10
1039,51,High Blood Pressure,"Feta, olives, and vinaigrette add sodium.",5/10
1040,51,Gout,Turkey and feta are moderate in purines; occasional is acceptable.,6/10
1041,51,Fatty Liver,"Healthy, nutrient-dense snack.",9/10
1042,51,High Cholesterol,"No cholesterol, almonds beneficial.",9/10
1043,51,High Blood Pressure,"Low sodium, potassium rich.",10/10
1044,51,Gout,"Low purine, safe.",10/10
1045,52,Fatty Liver,"Rich in fiber, antioxidants, and healthy fats; good for liver.",9/10
1046,52,High Cholesterol,"No cholesterol, plant-based.",10/10
1047,52,High Blood Pressure,"Low sodium, high potassium.",10/10
1048,52,Gout,"Low purine, safe.",10/10
1049,52,Fatty Liver,Fresh and balanced; moderate cheese.,8/10
1050,52,High Cholesterol,Contains cheese; moderate.,7/10
1051,52,High Blood Pressure,Low sodium.,9/10
1052,52,Gout,"Low purine, safe.",9/10
1053,52,Fatty Liver,"Nut-based, moderate fat; good protein source.",8/10
1054,52,High Cholesterol,"Plant-based, no cholesterol.",9/10
1055,52,High Blood Pressure,Slightly higher sodium for a snack.,8/10
1056,52,Gout,Nuts and egg whites are moderate in purines.,7/10
1057,52,Fatty Liver,"High in carbs and fat; olive oil is beneficial, but butter adds saturated fat.",6/10
1058,52,High Cholesterol,Butter adds cholesterol and saturated fat.,6/10
1059,52,High Blood Pressure,Bread and butter contribute sodium.,7/10
1060,52,Gout,"Low purine, safe.",9/10
1061,53,Fatty Liver,Cream cheese and smoked salmon add fat and sodium.,5/10
1062,53,High Cholesterol,Contains saturated fat and cholesterol from cream cheese and salmon.,6/10
1063,53,High Blood Pressure,High in sodium from salmon and bagel.,4/10
1064,53,Gout,Salmon is moderate-high in purines.,5/10
1065,53,Fatty Liver,"Very healthy, high in fiber.",10/10
1066,53,High Cholesterol,No cholesterol; positive.,10/10
1067,53,High Blood Pressure,"Low sodium, potassium rich.",10/10
1068,53,Gout,"Low purine, safe.",10/10
1069,53,Fatty Liver,"Fresh and balanced, moderate cheese and croutons.",8/10
1070,53,High Cholesterol,Cheese adds some cholesterol and saturated fat.,7/10
1071,53,High Blood Pressure,Moderate sodium from cheese and croutons.,7/10
1072,53,Gout,"Low purine, safe.",9/10
1073,53,Fatty Liver,"Moderate in fat and calories, veggies are beneficial.",7/10
1074,53,High Cholesterol,Cheese and chicken add cholesterol and saturated fat.,6/10
1075,53,High Blood Pressure,Moderate sodium from cheese and tortilla.,7/10
1076,53,Gout,Chicken is moderate in purines.,7/10
1077,53,Fatty Liver,Healthy fats and fiber.,9/10
1078,53,High Cholesterol,No cholesterol; heart healthy.,10/10
1079,53,High Blood Pressure,Low sodium; potassium from avocado.,10/10
1080,53,Gout,"Low purine, safe.",10/10
1081,54,Fatty Liver,"High in sugar and fat, low in fiber.",4/10
1082,54,High Cholesterol,Contains butter and eggs; moderate saturated fat.,5/10
1083,54,High Blood Pressure,Moderate sodium; not excessive.,7/10
1084,54,Gout,"Low purine, safe.",9/10
1085,54,Fatty Liver,"Contains healthy veggies and lean protein, but mayo adds fat.",6/10
1086,54,High Cholesterol,"Tuna is lean, but mayo adds fat; overall moderate.",6/10
1087,54,High Blood Pressure,Bread and tuna may add sodium; moderate.,6/10
1088,54,Gout,Tuna is high in purines; limit frequency.,4/10
1089,54,Fatty Liver,High sugar and saturated fat; not ideal.,3/10
1090,54,High Cholesterol,Contains saturated fat; occasional is acceptable.,6/10
1091,54,High Blood Pressure,Minimal sodium.,9/10
1092,54,Gout,"Low purine, safe.",9/10
1093,54,Fatty Liver,High in fat and saturated fat; cheese and dressing contribute.,4/10
1094,54,High Cholesterol,Cheese and dressing add significant cholesterol and saturated fat.,4/10
1095,54,High Blood Pressure,"High sodium from cheese, bread, and soup.",3/10
1096,54,Gout,Cheese is moderate in purines; not excessive.,7/10
1097,54,Fatty Liver,Healthy fats and fiber.,9/10
1098,54,High Cholesterol,No cholesterol; heart healthy.,10/10
1099,54,High Blood Pressure,Low sodium; potassium from avocado.,10/10
1100,54,Gout,"Low purine, safe.",10/10
1101,55,Fatty Liver,"High in sugar, moderate in fat; fruit is beneficial.",7/10
1102,55,High Cholesterol,"Low cholesterol, mostly dairy.",8/10
1103,55,High Blood Pressure,Low sodium.,9/10
1104,55,Gout,"Low purine, safe.",9/10
1105,55,Fatty Liver,"Salmon is beneficial, but rice adds carbs.",8/10
1106,55,High Cholesterol,Contains healthy fats from salmon.,9/10
1107,55,High Blood Pressure,"Moderate sodium, soy sauce increases.",7/10
1108,55,Gout,Salmon is high in purines; limit frequency.,4/10
1109,55,Fatty Liver,"High sugar, moderate fat; portion controlled.",7/10
1110,55,High Cholesterol,"Minimal cholesterol, some saturated fat.",8/10
1111,55,High Blood Pressure,Low sodium.,10/10
1112,55,Gout,"Low purine, safe.",10/10
1113,55,Fatty Liver,Moderate in fat and cheese; fresh tomatoes are beneficial.,7/10
1114,55,High Cholesterol,Cheese adds cholesterol and saturated fat.,6/10
1115,55,High Blood Pressure,Moderate sodium from cheese and flatbread.,7/10
1116,55,Gout,Cheese is moderate in purines.,8/10
1117,55,Fatty Liver,"Moderate calories, not much fat; figs are beneficial.",8/10
1118,55,High Cholesterol,"No cholesterol, low saturated fat.",10/10
1119,55,High Blood Pressure,Moderate sodium for snack.,8/10
1120,55,Gout,"Low purine, safe.",10/10
1121,56,Fatty Liver,"High in fat, especially from bacon and cheese; avocado and arugula are beneficial.",5/10
